composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A043_1_Source,A043,1,1.0,0.6931471805599453,38.0,-6.57,Source,0.66669923,0.5
A043_1_Destination,A043,1,1.0,0.6931471805599453,38.0,-6.57,Destination,0.49942693,0.5
A043_2_Source,A043,2,25.62,3.2816628129669656,38.0,-6.57,Source,0.21157885,0.5
A043_2_Destination,A043,2,25.62,3.2816628129669656,38.0,-6.57,Destination,0.4424877,0.5
A043_3_Source,A043,3,64.94,4.188745237643585,38.0,-6.57,Source,-0.3631573,0.5
A043_3_Destination,A043,3,64.94,4.188745237643585,38.0,-6.57,Destination,0.3511134,0.5
A043_4_Source,A043,4,149.33,5.012832877639743,38.0,-6.57,Source,-0.15410642,0.5
A043_4_Destination,A043,4,149.33,5.012832877639743,38.0,-6.57,Destination,-0.25678244,0.5
A044_1_Source,A044,1,1.0,0.6931471805599453,38.0,-6.57,Source,-0.77502024,0.5
A044_1_Destination,A044,1,1.0,0.6931471805599453,38.0,-6.57,Destination,1.1713588,0.5
A044_2_Source,A044,2,47.66,3.8848573373553763,38.0,-6.57,Source,-0.4404797,0.5
A044_2_Destination,A044,2,47.66,3.8848573373553763,38.0,-6.57,Destination,0.16294117,0.5
A044_3_Source,A044,3,91.63,4.5286130632659365,38.0,-6.57,Source,-1.4569299,0.5
A044_3_Destination,A044,3,91.63,4.5286130632659365,38.0,-6.57,Destination,-1.3014706,0.5
A044_4_Source,A044,4,155.27,5.0515852804252095,38.0,-6.57,Source,-1.2631737,0.5
A044_4_Destination,A044,4,155.27,5.0515852804252095,38.0,-6.57,Destination,-1.0086085,0.5
