UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A016,T3,Congruent,80.64,-0.30783665,-1.0141622,-0.24743013351469162,-0.42088670711604126,-0.17345657360134964
A016,T4,Congruent,150.8,-0.89812744,-1.9602563,-0.8590932001735608,-1.9856372106080007,-1.12654401043444
A016,T1,Incongruent,1.0,1.0116307,-0.20109226,1.1256060856040078,0.918115318569428,-0.2074907670345798
A016,T2,Incongruent,32.85,0.3017915,-0.51146555,0.38681350797888814,0.40568856753012983,0.01887505955124169
A016,T3,Incongruent,80.64,0.11681125,-0.6307198,0.19428816462332393,0.20879962816576564,0.014511463542441705
A016,T4,Incongruent,150.8,-0.47199276,-1.0874058,-0.4185323618619796,-0.545189618863619,-0.12665725700163943
A017,T1,Common,1.0,1.7082521,0.22713786,1.8398517638427698,1.5851763838930775,-0.25467537994969236
A017,T2,Common,20.61,1.5363775,0.12913221,1.6621386788779369,1.4263199100008677,-0.2358187688770692
A017,T3,Common,61.28,1.2156272,0.25517404,1.330492668842738,1.6306199751167187,0.30012730627398065
A017,T4,Common,140.49,-0.06760119,-0.10067907,0.003673721183479826,1.053820879572976,1.0501471583894961
A017,T1,Congruent,1.0,0.67906034,-0.15210493,0.7751987971853916,1.0048747972326317,0.2296760000472401
A017,T2,Congruent,20.61,1.5527916,0.22161458,1.6805646795284277,1.622971656136274,-0.057593023392153775
A017,T3,Congruent,61.28,1.091971,0.18487115,1.203059446259279,1.562201484762706,0.35914203850342696
A017,T4,Congruent,140.49,0.8356505,-0.003696698,0.9374585157796848,1.25032803041985,0.3128695146401653
A017,T1,Incongruent,1.0,0.6303517,-0.050550863,0.728775232638536,1.1666593829173206,0.4378841502787846
A017,T2,Incongruent,20.61,2.113085,0.37616742,2.271987211686185,1.8711718858029838,-0.400815325883201
A017,T3,Incongruent,61.28,1.0203537,0.16344005,1.1346848849357776,1.5199586900211086,0.38527380508533104
A017,T4,Incongruent,140.49,0.34203538,-0.05830908,0.4286988812279789,1.1538505554207024,0.7251516741927235
A018,T1,Common,1.0,0.07809487,-0.26172757,0.15431899564417048,0.7927788188792348,0.6384598232350643
A018,T2,Common,34.03,0.20171568,-0.1593717,0.282139136089306,0.9586865251223894,0.6765473890330833
A018,T3,Common,83.64,-0.72949773,-0.75480217,-0.6807070776719011,-0.006441351813085145,0.674265725858816
A018,T4,Common,150.87,-1.2705388,-0.9304417,-1.240127013150292,-0.2911338813956652,0.9489931317546267
