UID,TEST,composite_ID,n_ratings,mean_rating,sd_rating,full_scale_usage,extremes_only,pct_extremes,restricted_range,scale_type
A056,T4,A056_T4,105,0.5142857142857143,0.29838567929014653,True,False,20.0,False,0-1
A057,T1,A057_T1,105,0.6952380952380953,0.326709701455196,True,False,48.57142857142857,False,0-1
A057,T2,A057_T2,105,0.6247619047619047,0.3203512811128708,True,False,33.33333333333333,False,0-1
A057,T3,A057_T3,105,0.4742857142857144,0.32338347321454036,True,False,21.904761904761905,False,0-1
A057,T4,A057_T4,105,0.36571428571428577,0.28211060695731227,True,False,12.380952380952381,False,0-1
A058,T1,A058_T1,105,0.6971428571428572,0.334794078248006,True,False,50.476190476190474,False,0-1
A058,T2,A058_T2,105,0.45714285714285713,0.3422216332415346,False,False,26.666666666666668,False,0-1
A058,T3,A058_T3,105,0.46666666666666673,0.3410534566859868,True,False,26.666666666666668,False,0-1
A058,T4,A058_T4,105,0.3580952380952382,0.27560529139330925,True,False,12.380952380952381,False,0-1
A059,T1,A059_T1,105,0.6666666666666666,0.29298680830588575,True,False,33.33333333333333,False,0-1
A059,T2,A059_T2,105,0.5771428571428572,0.3602266859994168,True,False,35.23809523809524,False,0-1
A059,T3,A059_T3,105,0.5200000000000001,0.3420943896479032,True,False,26.666666666666668,False,0-1
A059,T4,A059_T4,105,0.5371428571428571,0.33728810430568473,True,False,27.61904761904762,False,0-1
A060,T1,A060_T1,105,0.8076190476190477,0.2118828239045337,True,False,40.95238095238095,False,0-1
A060,T2,A060_T2,105,0.7619047619047619,0.2856507865945518,True,False,50.476190476190474,False,0-1
A060,T3,A060_T3,105,0.7180952380952381,0.3262429571962917,True,False,50.476190476190474,False,0-1
A060,T4,A060_T4,105,0.7619047619047619,0.3301892537782803,True,False,60.952380952380956,False,0-1
A061,T1,A061_T1,105,0.96,0.08901578244226986,False,False,81.9047619047619,True,0-1
A061,T2,A061_T2,105,0.900952380952381,0.18541856797924508,True,False,68.57142857142857,True,0-1
A061,T3,A061_T3,105,0.7028571428571427,0.3370621372295344,True,False,51.42857142857142,False,0-1
A061,T4,A061_T4,105,0.7619047619047619,0.3148335773164859,True,False,58.0952380952381,False,0-1
A062,T1,A062_T1,105,0.7276190476190477,0.3062819236913033,True,False,49.523809523809526,False,0-1
A062,T2,A062_T2,105,0.582857142857143,0.31726724287477354,True,False,25.71428571428571,False,0-1
A062,T3,A062_T3,105,0.47809523809523813,0.3283380813911325,True,False,22.857142857142858,False,0-1
A062,T4,A062_T4,105,0.39428571428571435,0.25064813942241493,True,False,5.714285714285714,False,0-1
A063,T1,A063_T1,105,0.5714285714285715,0.21278841971457435,True,False,5.714285714285714,False,0-1
A063,T2,A063_T2,105,0.5066666666666666,0.2066820270789415,True,False,0.9523809523809524,False,0-1
A063,T3,A063_T3,105,0.3923809523809525,0.17872311018270323,False,False,0.0,True,0-1
A063,T4,A063_T4,105,0.34095238095238106,0.172209859844506,False,False,0.0,True,0-1
A064,T1,A064_T1,105,0.7523809523809525,0.2711861908604099,True,False,47.61904761904761,False,0-1
A064,T2,A064_T2,105,0.6171428571428572,0.3232151407513026,True,False,36.19047619047619,False,0-1
A064,T3,A064_T3,105,0.6190476190476192,0.32251843449571865,True,False,29.523809523809526,False,0-1
A064,T4,A064_T4,105,0.6190476190476191,0.3248722058185013,True,False,32.38095238095238,False,0-1
A065,T1,A065_T1,105,0.5771428571428573,0.3327396072884973,True,False,34.285714285714285,False,0-1
A065,T2,A065_T2,105,0.4038095238095238,0.21730987728688245,True,False,4.761904761904762,False,0-1
