UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A061,T3,Source,0.69539714,82.55,0.32175243,0.8342578957181844,0.35765099833304514,-0.4766068973851393
A061,T4,Source,-0.7289813,146.56,0.582617,-0.8207684607673329,0.6357862972619197,1.4565547580292526
A062,T1,Source,0.62293416,1.0,1.2001371,0.7500610710530464,1.2941897654220016,0.5441286943689552
A062,T2,Source,-0.07864903,44.69,0.000834527,-0.06512865529326538,0.015486491736643297,0.08061514702990867
A062,T3,Source,-0.71697104,92.72,-0.6940866,-0.8068133935674644,-0.7254423948121714,0.08137099875529297
A062,T4,Source,-0.91934156,149.18,-0.8138189,-1.0419535325713092,-0.8531016589734245,0.1888518735978847
A063,T1,Source,1.103137,1.0,-0.13293676,1.3080225891024195,-0.12714122078807882,-1.4351638098904984
A063,T2,Source,1.1051809,21.98,-0.29875752,1.3103974554125417,-0.30394026502476135,-1.614337720437303
A063,T3,Source,0.2864874,69.99,-0.94496095,0.35913388504891297,-0.992926063946838,-1.352059948995751
A063,T4,Source,-0.9610751,141.09,-1.0068147,-1.090444935354296,-1.0588748865336763,0.031570048820619645
A064,T1,Source,0.73301834,1.0,0.9493055,0.8779710521477446,1.0267516765822335,0.14878062443448892
A064,T2,Source,1.187793,37.65,-0.0040088473,1.4063868350781155,0.010322458312116048,-1.3960643767659995
A064,T3,Source,-0.08421605,82.99,-0.39947373,-0.07159713625895735,-0.4113244650919966,-0.33972732883303924
A064,T4,Source,-1.2915661,156.21,-1.0393686,-1.474451952184216,-1.093584041202709,0.3808679109815072
A065,T1,Source,-1.3585184,1.0,-0.3550946,-1.5522457589532408,-0.3640071824546749,1.188238576498566
A065,T2,Source,-0.18607779,32.31,-1.0237894,-0.1899532273673534,-1.0769734089153395,-0.8870201815479861
A065,T3,Source,-1.534947,106.41,-1.6289951,-1.7572432335273722,-1.7222471932508616,0.0349960402765106
A065,T4,Source,-1.4947524,187.43,-1.3768224,-1.7105399694788146,-1.4533792159084369,0.2571607535703777
A066,T1,Source,-0.03744735,1.0,-0.2739165,-0.017255235971162887,-0.2774546271959134,-0.2601993912247505
A066,T2,Source,-0.48925865,23.35,-0.14154133,-0.5422278055208571,-0.1363154626144197,0.4059123429064374
A066,T3,Source,-0.78109145,73.79,-0.41517866,-0.881316745737452,-0.42806915142562574,0.45324759431182626
A066,T4,Source,-1.5672717,164.93,-0.7867853,-1.7948022339749552,-0.8242782797881115,0.9705239541868437
A067,T1,Source,0.33184186,1.0,-0.029404351,0.41183253912582257,-0.016754373214100168,-0.42858691233992274
A067,T2,Source,-1.4980056,29.91,-1.3702686,-1.7143199563079599,-1.446391516804185,0.2679284395037749
A067,T3,Source,-1.2921559,73.19,-1.6940686,-1.4751372578007873,-1.7916289317324352,-0.3164916739316479
A067,T4,Source,-1.626856,144.19,-2.9207146,-1.864034949216517,-3.0994859239253887,-1.2354509747088718
A068,T1,Source,1.1554995,1.0,1.6339319,1.368864086809639,1.7567042662290346,0.38784017941939575
A068,T2,Source,-0.113646984,30.49,1.4582552,-0.10579378659999013,1.5693967623033838,1.6751905489033738
