composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A077_T1,-0.29585537,-0.16781874,-0.6221063,A077,T1,52.0,1.0
A077_T2,-0.53061026,-0.8854789,-0.28609315,A077,T2,52.0,53.88
A077_T3,-0.7001903,-0.8848828,0.0030661898,A077,T3,52.0,78.36
A077_T4,-0.4655254,-0.53065467,-0.49924725,A077,T4,52.0,149.75
A078_T1,-1.0185794,-0.9550609,-1.2669076,A078,T1,50.0,1.0
A078_T2,-0.9904335,-0.99789536,-0.927811,A078,T2,50.0,26.17
A078_T3,-1.0203165,-1.1255918,-1.2464578,A078,T3,50.0,72.3
A078_T4,-1.7117021,-1.4358822,-1.5400054,A078,T4,50.0,140.08
A079_T1,-0.71846724,-0.5103471,-0.4691084,A079,T1,50.0,1.0
A079_T2,-0.4687813,-0.40154326,-0.7961562,A079,T2,50.0,26.11
A079_T3,-0.7912571,-0.8309282,-1.03497,A079,T3,50.0,74.0
A079_T4,-1.1430237,-0.89567983,-1.0043411,A079,T4,50.0,194.42
A080_T1,-0.3331419,-0.27479762,-0.12884285,A080,T1,56.0,1.0
A080_T2,-0.52528346,-0.36208493,-0.022534352,A080,T2,56.0,29.03
A080_T3,-0.8356168,-0.54912174,-1.004014,A080,T3,56.0,72.87
A080_T4,-1.1089727,-0.8352316,-0.9994529,A080,T4,56.0,145.77
A081_T1,-0.32426777,-0.5029323,0.074385546,A081,T1,55.0,1.0
A081_T2,-0.46589303,-0.8535191,-0.18059202,A081,T2,55.0,31.39
A081_T3,-0.40189904,-0.7832085,-0.24266918,A081,T3,55.0,80.13
A081_T4,-0.7679094,-0.5388373,-1.2665,A081,T4,55.0,154.53
A082_T1,-0.3075968,-0.48643523,-0.45682576,A082,T1,58.0,1.0
A082_T2,-0.5080273,-0.4182891,-0.48238644,A082,T2,58.0,27.97
A082_T3,-0.69216347,-0.62079847,-0.9142716,A082,T3,58.0,75.71
A082_T4,-1.0564356,-0.9672931,-1.1665477,A082,T4,58.0,170.25
A083_T1,-0.10635004,-0.09583326,0.012034494,A083,T1,58.0,1.0
A083_T2,-0.6589626,-0.41169494,-1.0398843,A083,T2,58.0,25.15
A083_T3,-0.7292993,-0.4612502,-0.6107135,A083,T3,58.0,74.3
A083_T4,-0.6611885,-0.7098516,-0.5430397,A083,T4,58.0,144.91
A084_T1,-1.6331187,-1.2836237,-1.7699771,A084,T1,59.0,1.0
A084_T2,-1.7653933,-1.2449703,-1.7262349,A084,T2,59.0,27.25
A084_T3,-1.3211712,-1.1464479,-0.89445883,A084,T3,59.0,91.97
A084_T4,-1.9710993,-1.4459121,-1.4943849,A084,T4,59.0,162.51
A085_T1,-0.16988859,-0.4113594,0.06696249,A085,T1,58.0,1.0
A085_T2,-0.06407394,-0.079419106,-0.38596627,A085,T2,58.0,24.51
A085_T3,-0.29939044,-0.29603952,-0.109423846,A085,T3,58.0,71.4
A085_T4,-0.9037909,-0.50886494,-0.44603387,A085,T4,58.0,170.65
A086_T1,-0.42006263,-0.22390528,0.19050074,A086,T1,58.0,1.0
A086_T2,-0.17667152,-0.34955737,-0.13576607,A086,T2,58.0,23.47
A086_T3,-0.756651,-0.8755129,-0.97178423,A086,T3,58.0,145.29
A086_T4,-0.81732196,-1.047874,-0.7664863,A086,T4,58.0,169.55
A087_T1,0.04956661,-0.14499468,0.030974811,A087,T1,59.0,1.0
A087_T2,-0.28434318,-0.29225552,-0.5095214,A087,T2,59.0,31.07
A087_T3,-0.3399625,-0.54559875,-0.5164867,A087,T3,59.0,72.8
A087_T4,-0.31418985,-0.36088088,-0.81772345,A087,T4,59.0,144.2
A088_T1,-0.48985383,-0.35632056,-0.02518704,A088,T1,56.0,1.0
A088_T2,-0.3874051,-0.13363272,-0.6045346,A088,T2,56.0,24.25
A088_T3,-0.47999272,-0.53788346,-0.16763243,A088,T3,56.0,74.91
A088_T4,-0.21584226,-0.45594898,-0.25859597,A088,T4,56.0,149.93
A089_T1,-0.24243428,-0.26589176,0.24967499,A089,T1,56.0,1.0
A089_T2,-0.2085569,-0.35867476,-0.37181965,A089,T2,56.0,32.14
A089_T3,-0.5054164,-0.75181556,-0.620811,A089,T3,56.0,79.34
A089_T4,-0.49625972,-0.78483397,-0.40111136,A089,T4,56.0,146.96
A090_T1,-1.6694237,-1.4756273,-1.5439972,A090,T1,61.0,1.0
A090_T2,-1.231995,-1.2440255,-1.1113656,A090,T2,61.0,23.54
A090_T3,-2.343972,-2.1642137,-2.2179248,A090,T3,61.0,95.42
A090_T4,-2.383801,-2.0109892,-2.120576,A090,T4,61.0,144.07
A091_T1,-0.31102517,-0.57862794,-0.18884012,A091,T1,63.0,1.0
A091_T2,-0.6510467,-0.6094017,-1.0021944,A091,T2,63.0,22.2
A091_T3,-1.295363,-0.8494066,-1.5836357,A091,T3,63.0,73.64
A091_T4,-0.6915264,-0.41715935,-1.1188887,A091,T4,63.0,142.61
A092_T1,-0.39631176,-0.5499598,-0.048927873,A092,T1,60.0,1.0
A092_T2,-0.874028,-0.3638656,-0.48022532,A092,T2,60.0,22.83
A092_T3,-1.0167565,-0.6071679,-0.949049,A092,T3,60.0,71.31
A092_T4,-1.5746155,-0.90732133,-1.531755,A092,T4,60.0,146.16
A093_T1,-0.31084672,-0.29207903,0.21607958,A093,T1,64.0,1.0
A093_T2,-1.5315979,-1.7473596,-1.7845649,A093,T2,64.0,22.09
A093_T3,-2.2868278,-2.0665236,-2.2663598,A093,T3,64.0,70.22
A093_T4,-2.3151166,-2.109843,-2.1289084,A093,T4,64.0,140.95
A094_T1,-0.8733607,-1.0246629,-0.858511,A094,T1,60.0,1.0
A094_T2,-0.84126997,-1.0448214,-0.9233086,A094,T2,60.0,22.98
