UID,location,TSVR_hours,test,theta,se,measure
A107,source,26.0,2,-1.3602527,0.5,accuracy
A107,source,74.0,3,-0.8110506,0.5,accuracy
A107,source,148.0,4,-1.0200406,0.5,accuracy
A108,source,1.0,1,-0.8011535,0.5,accuracy
A108,source,26.0,2,-0.5113533,0.5,accuracy
A108,source,74.0,3,0.030380113,0.5,accuracy
A108,source,148.0,4,-1.5837336,0.5,accuracy
A109,source,1.0,1,-0.121756904,0.5,accuracy
A109,source,26.0,2,-0.9755655,0.5,accuracy
A109,source,74.0,3,0.17754932,0.5,accuracy
A109,source,148.0,4,-1.646698,0.5,accuracy
A010,destination,1.0,1,2.010915,0.5,accuracy
A010,destination,26.0,2,1.0975147,0.5,accuracy
A010,destination,74.0,3,-1.186541,0.5,accuracy
A010,destination,148.0,4,-0.4293288,0.5,accuracy
A011,destination,1.0,1,1.1835473,0.5,accuracy
A011,destination,26.0,2,0.07751111,0.5,accuracy
A011,destination,74.0,3,-0.5014456,0.5,accuracy
A011,destination,148.0,4,-0.84890825,0.5,accuracy
A012,destination,1.0,1,0.33868304,0.5,accuracy
A012,destination,26.0,2,-1.1255839,0.5,accuracy
A012,destination,74.0,3,0.09193352,0.5,accuracy
A012,destination,148.0,4,-0.9537699,0.5,accuracy
A013,destination,1.0,1,-0.035398606,0.5,accuracy
A013,destination,26.0,2,-0.3057711,0.5,accuracy
A013,destination,74.0,3,0.9779469,0.5,accuracy
A013,destination,148.0,4,-0.066024296,0.5,accuracy
A014,destination,1.0,1,0.7553257,0.5,accuracy
A014,destination,26.0,2,-0.4665811,0.5,accuracy
A014,destination,74.0,3,0.12054519,0.5,accuracy
A014,destination,148.0,4,-0.5400671,0.5,accuracy
A015,destination,1.0,1,1.0023323,0.5,accuracy
A015,destination,26.0,2,1.4194467,0.5,accuracy
A015,destination,74.0,3,0.24626894,0.5,accuracy
A015,destination,148.0,4,-0.43521827,0.5,accuracy
A016,destination,1.0,1,1.7207321,0.5,accuracy
A016,destination,26.0,2,1.479976,0.5,accuracy
A016,destination,74.0,3,-0.6975632,0.5,accuracy
A016,destination,148.0,4,-0.8562173,0.5,accuracy
A017,destination,1.0,1,-0.15520337,0.5,accuracy
A017,destination,26.0,2,0.41041905,0.5,accuracy
A017,destination,74.0,3,0.22881152,0.5,accuracy
A017,destination,148.0,4,-0.7611534,0.5,accuracy
A018,destination,1.0,1,1.5116286,0.5,accuracy
A018,destination,26.0,2,0.4516168,0.5,accuracy
A018,destination,74.0,3,-0.5255531,0.5,accuracy
A018,destination,148.0,4,-0.6034264,0.5,accuracy
A019,destination,1.0,1,-1.1137557,0.5,accuracy
A019,destination,26.0,2,0.2184492,0.5,accuracy
A019,destination,74.0,3,-0.34441203,0.5,accuracy
A019,destination,148.0,4,-0.9084577,0.5,accuracy
A020,destination,1.0,1,-0.39048332,0.5,accuracy
A020,destination,26.0,2,0.15357906,0.5,accuracy
A020,destination,74.0,3,-0.33567235,0.5,accuracy
A020,destination,148.0,4,-1.1523182,0.5,accuracy
A021,destination,1.0,1,0.64160866,0.5,accuracy
A021,destination,26.0,2,0.47721207,0.5,accuracy
A021,destination,74.0,3,-0.59433186,0.5,accuracy
A021,destination,148.0,4,-0.99789435,0.5,accuracy
A022,destination,1.0,1,-0.42679092,0.5,accuracy
A022,destination,26.0,2,-0.60329264,0.5,accuracy
A022,destination,74.0,3,-0.09910751,0.5,accuracy
A022,destination,148.0,4,-0.08970222,0.5,accuracy
A023,destination,1.0,1,0.1930206,0.5,accuracy
A023,destination,26.0,2,0.101476,0.5,accuracy
A023,destination,74.0,3,-0.27825373,0.5,accuracy
A023,destination,148.0,4,0.92574984,0.5,accuracy
A024,destination,1.0,1,-0.26954484,0.5,accuracy
A024,destination,26.0,2,-0.57454836,0.5,accuracy
A024,destination,74.0,3,0.0074428213,0.5,accuracy
A024,destination,148.0,4,-0.940981,0.5,accuracy
A025,destination,1.0,1,0.05380287,0.5,accuracy
A025,destination,26.0,2,1.5041252,0.5,accuracy
A025,destination,74.0,3,-0.27671874,0.5,accuracy
A025,destination,148.0,4,-0.14176248,0.5,accuracy
A026,destination,1.0,1,1.0732766,0.5,accuracy
A026,destination,26.0,2,0.63977706,0.5,accuracy
A026,destination,74.0,3,0.61266387,0.5,accuracy
A026,destination,148.0,4,-0.2835504,0.5,accuracy
A027,destination,1.0,1,0.52744526,0.5,accuracy
A027,destination,26.0,2,1.2530484,0.5,accuracy
A027,destination,74.0,3,-0.48801902,0.5,accuracy
A027,destination,148.0,4,0.38854283,0.5,accuracy
A028,destination,1.0,1,1.5729234,0.5,accuracy
A028,destination,26.0,2,0.35054204,0.5,accuracy
A028,destination,74.0,3,0.36001632,0.5,accuracy
A028,destination,148.0,4,-0.4464555,0.5,accuracy
A029,destination,1.0,1,1.7540342,0.5,accuracy
A029,destination,26.0,2,0.9775655,0.5,accuracy
A029,destination,74.0,3,0.37505868,0.5,accuracy
A029,destination,148.0,4,1.0688435,0.5,accuracy
A030,destination,1.0,1,-0.5316837,0.5,accuracy
A030,destination,26.0,2,1.5800109,0.5,accuracy
A030,destination,74.0,3,0.7544972,0.5,accuracy
A030,destination,148.0,4,0.12028915,0.5,accuracy
A031,destination,1.0,1,1.4608339,0.5,accuracy
A031,destination,26.0,2,-0.6116699,0.5,accuracy
A031,destination,74.0,3,-0.31054813,0.5,accuracy
A031,destination,148.0,4,-0.8304748,0.5,accuracy
A032,destination,1.0,1,-0.66399795,0.5,accuracy
A032,destination,26.0,2,-0.2995187,0.5,accuracy
A032,destination,74.0,3,0.80790555,0.5,accuracy
A032,destination,148.0,4,1.2733109,0.5,accuracy
A033,destination,1.0,1,-0.8207058,0.5,accuracy
A033,destination,26.0,2,0.05391906,0.5,accuracy
A033,destination,74.0,3,0.01400444,0.5,accuracy
A033,destination,148.0,4,-1.3077472,0.5,accuracy
A034,destination,1.0,1,1.5448427,0.5,accuracy
A034,destination,26.0,2,1.3082612,0.5,accuracy
