UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A048,T3,IFR,81.15,0.37180644,-0.54447675,0.3520210405378442,0.3775231784977754,0.11590391577186487
A048,T4,IFR,146.3,0.32747135,-0.54475516,0.3042086968508922,0.3770595820052876,0.13481581047976288
A049,T1,IFR,1.0,1.9369724,0.042168345,2.039944822955745,1.354379643341305,0.08226262196144118
A049,T2,IFR,27.12,-0.40477413,-0.5844998,-0.4854676645363765,0.3108784976362472,0.4085366012752975
A049,T3,IFR,111.38,0.5799155,-0.5180559,0.5764523409161337,0.4215180543590678,0.054735439928662755
A049,T4,IFR,168.86,0.29279515,-0.5881099,0.2668128013613943,0.3048671126373978,0.10219356419591434
A050,T1,IFR,1.0,0.10375316,-0.45585206,0.0629440238953887,0.5250972434803756,0.32950857716488857
A050,T2,IFR,24.73,-0.20866837,-0.41204536,-0.2739810972121439,0.5980422974204601,0.5130838703951023
A050,T3,IFR,93.39,-0.78698945,-1.0213366,-0.897660585364062,-0.4165235650394149,0.09406653006817933
A050,T4,IFR,148.69,-0.7662721,-1.2465863,-0.8753183490342639,-0.791599786633095,-0.16249680116502896
A051,T1,IFR,1.0,1.1308651,-0.16446207,1.1706135714310304,1.01030746333603,0.20456791827499166
A051,T2,IFR,17.16,-0.1484353,-0.26510713,-0.2090238760999226,0.8427175894011514,0.6484816871801038
A051,T3,IFR,65.63,-0.51630783,-0.6704625,-0.6057490848983831,0.1677370651993071,0.3623972377725532
A051,T4,IFR,146.99,-0.24947512,-0.9372713,-0.3179883690085365,-0.2765416023946737,-0.046529237696293996
A052,T1,IFR,1.0,0.8560208,-0.54505354,0.87421290703631,0.3765627323180335,-0.09462221344510097
A052,T2,IFR,31.76,0.514484,-0.35872635,0.5058889707740455,0.6868268454572195,0.2582249211324389
A052,T3,IFR,80.98,0.336497,-0.7488621,0.3139422392841688,0.0371893852580868,-0.09344048111875754
A052,T4,IFR,153.27,-0.45561698,-0.50986373,-0.5402981795578673,0.4351593074672989,0.5126115903586979
A053,T1,IFR,1.0,1.4144037,-0.407479,1.47639044008557,0.6056460059059167,-0.18544923965571836
A053,T2,IFR,32.71,0.28295353,-1.4468019,0.2561992914333356,-1.1249902894933062,-0.8373708835831255
A053,T3,IFR,78.28,-0.83496577,-1.4735703,-0.9493997450381528,-1.1695638908348762,-0.38220943746123814
A053,T4,IFR,148.9,-0.19286156,-1.4498922,-0.2569345403580956,-1.130136125636888,-0.6345162601013128
A054,T1,IFR,1.0,0.06454673,0.08053217,0.0206625870944614,1.4182614532921334,0.936069581250124
A054,T2,IFR,16.9,0.59928095,-0.45485732,0.597336646125675,0.5267536422266029,0.11580576692567104
A054,T3,IFR,72.83,0.76526284,-0.22336246,0.7763366926010481,0.9122290386740032,0.2983050356946319
A054,T4,IFR,136.83,1.2983474,-0.08711298,1.3512317068420825,1.139105878698668,0.21698762955775253
A055,T1,IFR,1.0,-0.3203487,-0.5442102,-0.3944206479389431,0.3779670262226149,0.41622502857211063
A055,T2,IFR,23.24,0.5494155,-1.1166618,0.5435601897453108,-0.5752550343317686,-0.590000842602042
A055,T3,IFR,74.48,-0.9620779,-0.78869855,-1.0864814301399652,-0.0291445772186914,0.425665920914912
A055,T4,IFR,149.21,-0.9730982,-0.8674088,-1.0983660653382543,-0.1602095383293786,0.343928588783376
A056,T1,IFR,1.0,0.8824607,-0.3793793,0.902726519749144,0.6524364313933465,0.07601757891605959
A056,T2,IFR,33.61,0.3381003,-0.81827146,0.3156712880045682,-0.0783881293491935,-0.17042669434789842
A056,T3,IFR,71.46,-0.26972502,-0.7588861,-0.3398264926804724,0.0204978467332627,0.15832039791314023
A056,T4,IFR,147.84,-1.5637758,-1.1386805,-1.7353712100077232,-0.6119196372164996,0.30180127666527606
A057,T1,IFR,1.0,0.009936852,-0.5011889,-0.0382304084004955,0.4496042654821929,0.3203431399387478
A057,T2,IFR,24.78,-0.7343016,-0.5067597,-0.840840364804533,0.440328006223006,0.636824661696021
A057,T3,IFR,73.83,-0.6061695,-0.66122895,-0.702658712246009,0.1831123799983781,0.4114985775625276
A057,T4,IFR,145.06,-1.3534855,-1.2370822,-1.5085875923894387,-0.7757739634792863,0.10248871349557476
A058,T1,IFR,1.0,1.2909634,-0.15271345,1.3432685709651857,1.0298707657446011,0.14808367446144666
A058,T2,IFR,22.96,-1.1071848,-0.61431795,-1.2429692363933904,0.2612265822866881,0.680235604216075
