composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A089_T3,A089,T3,79.34,0.297299256510325,0.013025821185369973
A089_T4,A089,T4,146.96,0.03625855152903846,0.02197687044793739
A090_T1,A090,T1,1.0,-0.44747851527806165,0.01230735806480775
A090_T2,A090,T2,23.54,-0.9319069226603423,0.02116775870478813
A090_T3,A090,T3,95.42,-1.4023754129255444,0.012215440719667875
A090_T4,A090,T4,144.07,-1.5487786241433799,0.010623375677851358
A091_T1,A091,T1,1.0,0.8871457106702442,0.01693129752227661
A091_T2,A091,T2,22.2,0.39134906016304444,0.020919036152236767
A091_T3,A091,T3,73.64,-0.029401899767232696,0.01586324901684788
A091_T4,A091,T4,142.61,-0.2801411905503425,0.015197368589236326
A092_T1,A092,T1,1.0,0.4276919649775951,0.016041868604071242
A092_T2,A092,T2,22.83,-0.004824856000511061,0.019941090478716252
A092_T3,A092,T3,71.31,-0.3452463109440817,0.018270403982527758
A092_T4,A092,T4,146.16,-0.5719588502804328,0.014158634726655368
A093_T1,A093,T1,1.0,1.2695664018219637,0.03444887952075175
A093_T2,A093,T2,22.09,0.6320835401021089,0.03341310115175178
A093_T3,A093,T3,70.22,0.09908502133160359,0.02708472949569994
A093_T4,A093,T4,140.95,-0.2657124515531331,0.025040745862961924
A094_T1,A094,T1,1.0,-0.042867135690093434,0.014389231449257167
A094_T2,A094,T2,22.98,-0.569867605190033,0.022361119577893312
A094_T3,A094,T3,76.21,-1.0133249711990768,0.01665085434585077
A094_T4,A094,T4,149.99,-1.286793097482466,0.014743968775995958
A095_T1,A095,T1,1.0,0.8412482332432475,0.023151427490916067
A095_T2,A095,T2,29.71,0.20557270898957475,0.020536596464085774
A095_T3,A095,T3,78.76,-0.17652418851334545,0.016228770817042937
A095_T4,A095,T4,148.79,-0.44209397371089865,0.01703883726709773
A096_T1,A096,T1,1.0,1.2302947345197532,0.02300135582214493
A096_T2,A096,T2,24.49,0.8801339348126894,0.029774240707059012
A096_T3,A096,T3,71.19,0.642662401122044,0.02402769746350511
A096_T4,A096,T4,143.66,0.49461009344245216,0.04280041335387853
A097_T1,A097,T1,1.0,-0.22844668275327476,0.02262237087800159
A097_T2,A097,T2,24.37,-0.633937257323549,0.02204074330850968
A097_T3,A097,T3,70.83,-0.9185191599469018,0.02065217443230774
A097_T4,A097,T4,144.85,-1.1132746894989878,0.02006532427874344
A098_T1,A098,T1,1.0,0.8782428767604719,0.03697867050501888
A098_T2,A098,T2,25.77,0.5974423580881209,0.038545871307960396
A098_T3,A098,T3,78.84,0.41134435264937946,0.031350613119273764
A098_T4,A098,T4,146.29,0.3253762802422802,0.047061180907250914
A099_T1,A099,T1,1.0,1.6363981615485232,0.022499071994734936
A099_T2,A099,T2,28.75,1.2551782235560203,0.0300782914464299
A099_T3,A099,T3,78.57,1.0307097220014303,0.022198492366784426
A099_T4,A099,T4,143.51,0.9052124435073519,0.0389726107316657
A100_T1,A100,T1,1.0,1.1577672799515346,0.031290876736166776
A100_T2,A100,T2,31.14,0.669524960578174,0.017231866433134
A100_T3,A100,T3,75.34,0.41343237315330206,0.020275011359099628
A100_T4,A100,T4,146.8,0.214429866162612,0.01917141806790698
A101_T1,A101,T1,1.0,-0.3290761054124757,0.031016877875489342
A101_T2,A101,T2,29.12,-1.0518607489626448,0.029119325107551372
A101_T3,A101,T3,75.21,-1.4844324074830026,0.023585912972156807
A101_T4,A101,T4,150.22,-1.830573262485593,0.025957423434079408
A102_T1,A102,T1,1.0,0.7699317212697676,0.012474102269445146
A102_T2,A102,T2,29.13,0.20237996210908388,0.01852530025148914
A102_T3,A102,T3,75.27,-0.13006699637855124,0.014803679685411906
A102_T4,A102,T4,150.41,-0.3852264936105796,0.015591839666358116
A103_T1,A103,T1,1.0,-1.7980815840520985,0.03364000322361029
A103_T2,A103,T2,27.26,-2.3575061541347853,0.020977944568772756
A103_T3,A103,T3,80.24,-2.740631764225841,0.0156644033088765
A103_T4,A103,T4,149.72,-2.9724478308274023,0.024587994707188154
A104_T1,A104,T1,1.0,1.2594925884281158,0.05839913522000089
A104_T2,A104,T2,22.6,0.3408902778855899,0.08523238468043619
A104_T3,A104,T3,72.62,-0.45168054151726156,0.052601916934077314
A104_T4,A104,T4,145.78,-1.0197878897193877,0.10787359322982201
A105_T1,A105,T1,1.0,1.7870382621196241,0.024562772678353398
A105_T2,A105,T2,22.77,1.1842949494677095,0.030129851501830344
A105_T3,A105,T3,69.46,0.7078076168890522,0.02313444425268913
A105_T4,A105,T4,146.2,0.3505738551530758,0.02276426015925817
A106_T1,A106,T1,1.0,0.8716971720672049,0.016542833281334757
A106_T2,A106,T2,22.64,0.45044726427437176,0.019649255759315337
A106_T3,A106,T3,66.08,0.14064214806761177,0.01858908560297647
A106_T4,A106,T4,147.13,-0.10243882214307301,0.019463815391944632
A107_T1,A107,T1,1.0,-0.8986387209788885,0.053209337666678326
A107_T2,A107,T2,26.22,-1.2454611523170267,0.023677452642975452
A107_T3,A107,T3,71.45,-1.4657350460901828,0.03441779450561834
A107_T4,A107,T4,145.95,-1.622269302411624,0.027728932368195545
A108_T1,A108,T1,1.0,-0.4406142406032389,0.04182274592338774
A108_T2,A108,T2,27.61,-0.7664755205362435,0.0474342440352105
A108_T3,A108,T3,68.96,-0.9354513769346757,0.02866860782288134
A108_T4,A108,T4,152.12,-1.056835336445901,0.0830682318104775
A109_T1,A109,T1,1.0,0.6201821218228369,0.032057493845194796
A109_T2,A109,T2,24.65,0.3170258394236787,0.03470703632940449
A109_T3,A109,T3,71.17,0.1172467561327635,0.031348226032552134
A109_T4,A109,T4,149.87,-0.008063718466823779,0.046368120972383235
