composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A091_T1,A091,T1,IFR,1.0,-0.5477087107949089,0.0
A091_T2,A091,T2,IFR,22.2,-0.6152716950756907,0.0
A091_T3,A091,T3,IFR,73.64,-0.7792075399532105,0.0
A091_T4,A091,T4,IFR,142.61,-0.9990103241912068,0.0
A092_T1,A092,T1,IFR,1.0,-0.5477087107949089,0.0
A092_T2,A092,T2,IFR,22.83,-0.6172794630047894,0.0
A092_T3,A092,T3,IFR,71.31,-0.771781985548766,0.0
A092_T4,A092,T4,IFR,146.16,-1.010323937125017,0.0
A093_T1,A093,T1,IFR,1.0,-0.5477087107949089,0.0
A093_T2,A093,T2,IFR,22.09,-0.6149211324214037,0.0
A093_T3,A093,T3,IFR,70.22,-0.7683082283381032,0.0
A093_T4,A093,T4,IFR,140.95,-0.9937200150446927,0.0
A094_T1,A094,T1,IFR,1.0,-0.5477087107949089,0.0
A094_T2,A094,T2,IFR,22.98,-0.6177575029879082,0.0
A094_T3,A094,T3,IFR,76.21,-0.7873979583306449,0.0
A094_T4,A094,T4,IFR,149.99,-1.0225298913606489,0.0
A095_T1,A095,T1,IFR,1.0,-0.5477087107949089,0.0
A095_T2,A095,T2,IFR,29.71,-0.6392055635638356,0.0
A095_T3,A095,T3,IFR,78.76,-0.7955246380436634,0.0
A095_T4,A095,T4,IFR,148.79,-1.018705571495699,0.0
A096_T1,A096,T1,IFR,1.0,-0.5477087107949089,0.0
A096_T2,A096,T2,IFR,24.49,-0.6225697721513035,0.0
A096_T3,A096,T3,IFR,71.19,-0.771399553562271,0.0
A096_T4,A096,T4,IFR,143.66,-1.0023566040730378,0.0
A097_T1,A097,T1,IFR,1.0,-0.5477087107949089,0.0
A097_T2,A097,T2,IFR,24.37,-0.6221873401648085,0.0
A097_T3,A097,T3,IFR,70.83,-0.7702522576027862,0.0
A097_T4,A097,T4,IFR,144.85,-1.0061490546057799,0.0
A098_T1,A098,T1,IFR,1.0,-0.5477087107949089,0.0
A098_T2,A098,T2,IFR,25.77,-0.6266490466739166,0.0
A098_T3,A098,T3,IFR,78.84,-0.7957795927013267,0.0
A098_T4,A098,T4,IFR,146.29,-1.0107382384437198,0.0
A099_T1,A099,T1,IFR,1.0,-0.5477087107949089,0.0
A099_T2,A099,T2,IFR,28.75,-0.6361461076718756,0.0
A099_T3,A099,T3,IFR,78.57,-0.794919120731713,0.0
A099_T4,A099,T4,IFR,143.51,-1.0018785640899193,0.0
A100_T1,A100,T1,IFR,1.0,-0.5477087107949089,0.0
A100_T2,A100,T2,IFR,31.14,-0.6437628780695676,0.0
A100_T3,A100,T3,IFR,75.34,-0.7846253264285562,0.0
A100_T4,A100,T4,IFR,146.8,-1.0123635743863237,0.0
A101_T1,A101,T1,IFR,1.0,-0.5477087107949089,0.0
A101_T2,A101,T2,IFR,29.12,-0.6373252729635686,0.0
A101_T3,A101,T3,IFR,75.21,-0.7842110251098532,0.0
A101_T4,A101,T4,IFR,150.22,-1.023262886001431,0.0
A102_T1,A102,T1,IFR,1.0,-0.5477087107949089,0.0
A102_T2,A102,T2,IFR,29.13,-0.6373571422957764,0.0
A102_T3,A102,T3,IFR,75.27,-0.7844022411031008,0.0
A102_T4,A102,T4,IFR,150.41,-1.0238684033133811,0.0
A103_T1,A103,T1,IFR,1.0,-0.5477087107949089,0.0
A103_T2,A103,T2,IFR,27.26,-0.6313975771728962,0.0
A103_T3,A103,T3,IFR,80.24,-0.8002412992104351,0.0
A103_T4,A103,T4,IFR,149.72,-1.0216694193910352,0.0
A104_T1,A104,T1,IFR,1.0,-0.5477087107949089,0.0
A104_T2,A104,T2,IFR,22.6,-0.6165464683640074,0.0
A104_T3,A104,T3,IFR,72.62,-0.775956868068003,0.0
A104_T4,A104,T4,IFR,145.78,-1.009112902501116,0.0
A105_T1,A105,T1,IFR,1.0,-0.5477087107949089,0.0
A105_T2,A105,T2,IFR,22.77,-0.617088247011542,0.0
A105_T3,A105,T3,IFR,69.46,-0.7658861590903016,0.0
A105_T4,A105,T4,IFR,146.2,-1.0104514144538486,0.0
A106_T1,A106,T1,IFR,1.0,-0.5477087107949089,0.0
A106_T2,A106,T2,IFR,22.64,-0.6166739456928391,0.0
A106_T3,A106,T3,IFR,66.08,-0.755114324804026,0.0
A106_T4,A106,T4,IFR,147.13,-1.0134152623491848,0.0
A107_T1,A107,T1,IFR,1.0,-0.5477087107949089,0.0
A107_T2,A107,T2,IFR,26.22,-0.6280831666232729,0.0
A107_T3,A107,T3,IFR,71.45,-0.7722281561996768,0.0
A107_T4,A107,T4,IFR,145.95,-1.0096546811486506,0.0
A108_T1,A108,T1,IFR,1.0,-0.5477087107949089,0.0
A108_T2,A108,T2,IFR,27.61,-0.6325130038001733,0.0
A108_T3,A108,T3,IFR,68.96,-0.7642926924799057,0.0
A108_T4,A108,T4,IFR,152.12,-1.029318059120935,0.0
A109_T1,A109,T1,IFR,1.0,-0.5477087107949089,0.0
A109_T2,A109,T2,IFR,24.65,-0.6230796814666302,0.0
A109_T3,A109,T3,IFR,71.17,-0.7713358148978552,0.0
A109_T4,A109,T4,IFR,149.87,-1.0221474593741537,0.0
A010_T1,A010,T1,ICR,1.0,-0.5682207836686602,0.0
A010_T2,A010,T2,ICR,21.9,-0.6414018736859018,0.0
A010_T3,A010,T3,ICR,80.88,-0.8479196100120698,0.0
A010_T4,A010,T4,ICR,145.31,-1.0735204535436909,0.0
A011_T1,A011,T1,ICR,1.0,-0.5682207836686602,0.0
A011_T2,A011,T2,ICR,24.57,-0.6507508454727935,0.0
