UID,domain,TEST,HCE_rate,N_items,Days_mean,domain_Where,domain_When,HCE_rate_trans
A039,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A039,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A039,When,2,0.07692307692307693,26,1.1987375,0,1,0.28290573721145973
A039,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A039,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A039,Where,1,0.06,50,0.04166666666666666,1,0,0.24956430006370459
A039,Where,2,0.14,50,1.1987375,1,0,0.38493583409084897
A039,Where,3,0.14,50,3.2778375,1,0,0.38493583409084897
A039,Where,4,0.08,50,6.307300000000001,1,0,0.28859435195061733
A040,What,1,0.10344827586206896,29,0.04166666666666666,0,0,0.329092735817834
A040,What,2,0.06896551724137931,29,1.1987375,0,0,0.267695745166414
A040,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A040,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A040,When,1,0.34615384615384615,26,0.04166666666666666,0,1,0.6300654339520746
A040,When,2,0.11538461538461539,26,1.1987375,0,1,0.3481420348899342
A040,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A040,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A040,Where,1,0.1,50,0.04166666666666666,1,0,0.323413536785469
A040,Where,2,0.08,50,1.1987375,1,0,0.28859435195061733
A040,Where,3,0.08,50,3.2778375,1,0,0.28859435195061733
A040,Where,4,0.02,50,6.307300000000001,1,0,0.1454258194533693
A041,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A041,What,2,0.2413793103448276,29,1.1987375,0,0,0.5147535300340429
A041,What,3,0.13793103448275862,29,3.2778375,0,0,0.38195417820268907
A041,What,4,0.13793103448275862,29,6.307300000000001,0,0,0.38195417820268907
A041,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A041,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A041,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A041,When,4,0.11538461538461539,26,6.307300000000001,0,1,0.3481420348899342
A041,Where,1,0.12,50,0.04166666666666666,1,0,0.35527749346034315
A041,Where,2,0.12,50,1.1987375,1,0,0.35527749346034315
A041,Where,3,0.02,50,3.2778375,1,0,0.1454258194533693
A041,Where,4,0.08,50,6.307300000000001,1,0,0.28859435195061733
A042,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A042,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A042,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A042,What,4,0.034482758620689655,29,6.307300000000001,0,0,0.18950082284559064
A042,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A042,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A042,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
