composite_ID,UID,TEST,TSVR_hours,theta,se_all,age,Age_c,Time,Time_log,Phase,Time_within_phase,Time_within_phase_log
A046_3,A046,3,73.05,-1.624248,0.3,38.0,-6.57,73.05,4.304740540713808,Forgetting,48.73,3.906608372726647
A046_4,A046,4,147.94,-1.154563,0.3,38.0,-6.57,147.94,5.003543540282499,Forgetting,123.62,4.825269107116076
A047_1,A047,1,1.0,-0.7466336,0.3,36.0,-8.57,1.0,0.6931471805599453,Practice,0.0,0.0
A047_2,A047,2,23.46,-0.5145792,0.3,36.0,-8.57,23.46,3.1970391302590264,Practice,22.46,3.1552968432253294
A047_3,A047,3,76.85,-1.2429395,0.3,36.0,-8.57,76.85,4.354783898280007,Forgetting,53.38999999999999,3.9961803134348695
A047_4,A047,4,144.22,-1.600209,0.3,36.0,-8.57,144.22,4.978249833952101,Forgetting,120.75999999999999,4.802051894113376
A048_1,A048,1,1.0,1.0764405,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A048_2,A048,2,23.91,-0.06019045,0.3,38.0,-6.57,23.91,3.215269329274089,Practice,22.91,3.1742967814702334
A048_3,A048,3,81.15,0.14282681,0.3,38.0,-6.57,81.15,4.408546844483277,Forgetting,57.24000000000001,4.06457240388843
A048_4,A048,4,146.3,0.09614354,0.3,38.0,-6.57,146.3,4.9924713234685845,Forgetting,122.39000000000001,4.815350070910442
A049_1,A049,1,1.0,2.1010969,0.3,35.0,-9.57,1.0,0.6931471805599453,Practice,0.0,0.0
A049_2,A049,2,27.12,-0.5321013,0.3,35.0,-9.57,27.12,3.336481066942464,Practice,26.12,3.3002714630721948
A049_3,A049,3,111.38,0.37812865,0.3,35.0,-9.57,111.38,4.721885985684052,Forgetting,84.25999999999999,4.445705411337064
A049_4,A049,4,168.86,0.034191336,0.3,35.0,-9.57,168.86,5.134974568351863,Forgetting,141.74,4.961024793542921
A050_1,A050,1,1.0,-0.39878848,0.3,41.0,-3.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A050_2,A050,2,24.73,-0.71372736,0.3,41.0,-3.5700000000000003,24.73,3.2476576262936527,Practice,23.73,3.208017081533325
A050_3,A050,3,93.39,-0.9261868,0.3,41.0,-3.5700000000000003,93.39,4.547435135336853,Forgetting,68.66,4.243626264937855
A050_4,A050,4,148.69,-1.1381246,0.3,41.0,-3.5700000000000003,148.69,5.008566488927144,Forgetting,123.96,4.827993686091376
A051_1,A051,1,1.0,1.5230782,0.3,41.0,-3.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A051_2,A051,2,17.16,-0.30774206,0.3,41.0,-3.5700000000000003,17.16,2.8992213731731478,Practice,16.16,2.8425810940598164
A051_3,A051,3,65.63,-0.6520249,0.3,41.0,-3.5700000000000003,65.63,4.199154926574446,Forgetting,48.47,3.901366425239617
A051_4,A051,4,146.99,-0.72000563,0.3,41.0,-3.5700000000000003,146.99,4.997144703913756,Forgetting,129.83,4.873898770522785
A052_1,A052,1,1.0,0.58457315,0.3,43.0,-1.5700000000000005,1.0,0.6931471805599453,Practice,0.0,0.0
A052_2,A052,2,31.76,0.3844317,0.3,43.0,-1.5700000000000005,31.76,3.4892082589848687,Practice,30.76,3.458207636378935
A052_3,A052,3,80.98,0.116021834,0.3,43.0,-1.5700000000000005,80.98,4.406475315076191,Forgetting,49.22,3.916413353729439
A052_4,A052,4,153.27,-0.8312764,0.3,43.0,-1.5700000000000005,153.27,5.038704314023848,Forgetting,121.51,4.808192659306079
A053_1,A053,1,1.0,1.401935,0.3,44.0,-0.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A053_2,A053,2,32.71,0.97594434,0.3,44.0,-0.5700000000000003,32.71,3.5177945292459696,Practice,31.71,3.4876808415502927
