age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Older,31.39,-0.24241331,,,,0.33659230128343653
Older,31.76,,,,,
Older,31.78,,,,,
Older,32.14,0.9674698,,,,0.7429323569219903
Older,32.31,,,,,
Older,32.41,,,,,
Older,32.71,,,,,
Older,32.85,,,,,
Older,32.95,,,,,
Older,33.61,,,,,
Older,33.76,,,,,
Older,34.03,,,,,
Older,35.16,,,,,
Older,37.65,,,,,
Older,44.69,,,,,
Older,44.76,,,,,
Older,47.66,,,,,
Older,53.88,,,,,
Older,57.18,,,,,
Older,61.28,,,,,
Older,64.94,,,,,
Older,65.63,,,,,
Older,66.08,0.3480307,,,,0.350759705072432
Older,66.28,,,,,
Older,66.66,,,,,
Older,66.9,,,,,
Older,68.96,-0.358304,,,,-0.8544023926628697
Older,69.46,-0.23769371,,,,0.01596887814200565
Older,69.99,,,,,
Older,70.22,0.67098945,,,,0.1781595581064998
Older,70.56,,,,,
Older,70.59,,,,,
Older,70.83,0.7895957,,,,-0.10204551016791533
Older,71.17,-0.23198725,,,,-0.8243922513735387
Older,71.19,-2.12857,,,,-1.3290956770346372
Older,71.28,,,,,
Older,71.31,-0.45482323,,,,-0.8319738184329639
Older,71.37,-1.5457226,,,,-0.3911892517097074
Older,71.4,-0.14947924,,,,0.0766052713414157
Older,71.45,-1.0414004,,,,-1.1886195293483952
Older,71.46,,,,,
Older,71.47,,,,,
Older,71.56,,,,,
Older,71.85,,,,,
Older,71.93,,,,,
Older,72.08,,,,,
Older,72.17,,,,,
Older,72.2,,,,,
Older,72.23,,,,,
Older,72.26,,,,,
Older,72.3,,,,,
Older,72.55,,,,,
Older,72.6,,,,,
Older,72.62,0.22338806,,,,-0.18999256840178919
Older,72.8,-0.23325346,,,,0.26810386193176444
Older,72.83,,,,,
Older,72.86,,,,,
Older,72.87,0.31786218,,,,-0.1725138195781308
Older,72.94,,,,,
Older,73.02,-0.85258937,,,,-0.42915362030864307
Older,73.05,,,,,
Older,73.19,,,,,
