UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A016,T4,What,150.8,-1.1568888,-1.6620972,-1.4203771190428294,-1.502228234149779,-0.33550813720835504
A017,T1,What,1.0,-0.40713716,-0.36066896,-0.5351309443339348,0.6889328638250926,0.6909343277162879
A017,T2,What,20.61,1.0619187,-0.07389383,1.1994115509631555,1.1717643326755662,0.2533763250261742
A017,T3,What,61.28,0.66992927,0.34846318,0.7365820952865795,1.882869425776192,0.9099033427641053
A017,T4,What,140.49,0.20140322,0.0537432,0.183384381022202,1.3866615403748943,0.8295327821005692
A018,T1,What,1.0,0.32558995,-0.3622402,0.3300140405213214,0.6862874317853037,0.3162302248479424
A018,T2,What,34.03,-0.36246425,-0.5451845,-0.4823847806968473,0.3782716527084303,0.46855177628716843
A018,T3,What,83.64,-0.91410375,-0.8140488,-1.1337161431641936,-0.074404089746832,0.4584663795710653
A018,T4,What,150.87,0.16954863,-0.70174134,0.1457730542308125,0.1146833526498144,0.02833323114862027
A019,T1,What,1.0,-0.015733648,-1.7392304,-0.0729932933037523,-1.632094224457716,-0.9998838992773086
A019,T2,What,28.69,-1.1935377,-2.012755,-1.4636491798179,-2.092616321979695,-0.6962545911389466
A019,T3,What,83.68,-0.94285613,-1.9219693,-1.1676646309711378,-1.9397641800187848,-0.7256393587559989
A019,T4,What,154.76,-1.264995,-2.2403193,-1.548020187635937,-2.475756956339898,-0.9060972719348316
A020,T1,What,1.0,-0.01839159,-0.42148626,-0.0761315765199092,0.5865372819958039,0.42723563780497004
A020,T2,What,26.85,-0.5171829,-0.37508157,-0.6650640650911093,0.6646669462879999,0.7313604255539448
A020,T3,What,78.25,-0.46821594,-1.0575523,-0.6072478340694292,-0.4843808983188699,-0.03198323238248879
A020,T4,What,145.78,-2.2787354,-1.3997948,-2.744962966244417,-1.060600492319431,0.5193868427279763
A021,T1,What,1.0,1.0875474,-0.58914065,1.2296718497439114,0.3042644943139357,-0.3171545713793923
A021,T2,What,30.21,0.8355286,-0.54050285,0.9321084077289984,0.3861539538903487,-0.13623630067913822
A021,T3,What,74.19,0.29306138,-0.5408941,0.2916069325872187,0.3854952223881163,0.13949021839661957
A021,T4,What,140.39,0.7857295,-0.15621644,0.8733096530121086,1.0331611465976636,0.30490292979467504
A022,T1,What,1.0,-0.07678151,-0.8681633,-0.1450736775622736,-0.165514443427463,-0.026333709505028488
A022,T2,What,24.15,0.13877183,-1.4832864,0.1094342948120526,-1.201171858688182,-0.8016118188275475
A022,T3,What,74.46,-0.30076003,-1.0958583,-0.4095294219297813,-0.5488751319917348,-0.15867493640707825
A022,T4,What,141.71,0.26840943,-2.051999,0.262499901308681,-2.158689827599125,-1.4829384173593214
A023,T1,What,1.0,0.59516215,-0.3060042,0.6483031193659654,0.7809696675924158,0.23984702309700884
A023,T2,What,25.63,-0.49034083,-0.5969571,-0.6333711170253093,0.2911042595519594,0.47763230753668173
A023,T3,What,72.2,0.32838494,-0.7395715,0.3333141389457138,0.050990271176367,-0.09345570872284423
A023,T4,What,145.07,-0.06907465,-0.39594382,-0.1359740398022055,0.6295420356619432,0.4806727810968915
A024,T1,What,1.0,0.079528205,-0.7741825,0.0394842078644092,-0.0072828432613587,-0.004220264384068147
A024,T2,What,29.57,-0.0904471,-0.33664376,-0.1612089023850431,0.729383103026192,0.5557138929679215
A024,T3,What,91.47,0.3260986,-0.54852176,0.3306146133547009,0.3726528455694153,0.11441926217316901
A024,T4,What,145.65,-0.4476697,-0.9095712,-0.5829884935168019,-0.2352312183061407,0.11766932276589939
A025,T1,What,1.0,0.9811938,-0.27394688,1.1040981096631028,0.8349432562470863,0.07801792414013692
A025,T2,What,23.33,1.7059261,-0.5362342,1.959803468657688,0.3933409039913165,-0.5747046514501978
A025,T3,What,72.94,-0.524388,-1.1941146,-0.6735712651732525,-0.7143052153215298,-0.1511451520791695
