UID,test,SD_confidence,mean_confidence,SD_accuracy,mean_accuracy
A040,4,0.28983833387063845,0.3222222222222222,0.4380515749499354,0.3784722222222222
A041,1,0.3511550357818176,0.7250000000000001,0.4109793781879751,0.6979166666666666
A041,2,0.3841540509981361,0.49444444444444446,0.40674814468923853,0.5069444444444444
A041,3,0.344223514385675,0.6194444444444445,0.431485315468312,0.6458333333333334
A041,4,0.3756267584435938,0.5555555555555556,0.4596385597769217,0.5
A042,1,0.2983522825571178,0.4666666666666667,0.4169599906499626,0.4375
A042,2,0.25318008708135536,0.41111111111111115,0.438065529859066,0.5
A042,3,0.27401837892280223,0.4388888888888889,0.4518588801543408,0.4930555555555556
A042,4,0.24887854885742394,0.3944444444444445,0.43994537913213533,0.46875
A043,1,0.1743981378488114,0.9027777777777778,0.4031705089802875,0.7048611111111112
A043,2,0.19982386610409858,0.875,0.4124789556921527,0.6736111111111112
A043,3,0.22011520671083157,0.8,0.42857113747288716,0.7048611111111112
A043,4,0.27610922970676743,0.6805555555555556,0.4488590779197697,0.5729166666666666
A044,1,0.28216411610870246,0.4305555555555556,0.4258236748167354,0.5659722222222222
A044,2,0.29644476587979657,0.4527777777777778,0.4488590779197697,0.5104166666666666
A044,3,0.25328823418679514,0.35833333333333334,0.4158442587968901,0.4305555555555556
A044,4,0.20624066346772074,0.35000000000000003,0.4302793929820938,0.4756944444444444
A045,1,0.35664933484280953,0.5111111111111111,0.4549329689743104,0.5972222222222222
A045,2,0.3287001954157522,0.5111111111111111,0.44947152066323837,0.5208333333333334
A045,3,0.3425829349115988,0.5305555555555556,0.4583466707406412,0.4826388888888889
A045,4,0.28569164900266014,0.39166666666666666,0.43532181897073285,0.4513888888888889
A046,1,0.25891007858905796,0.6472222222222223,0.44974344973443436,0.5138888888888888
A046,2,0.2613914853379864,0.5388888888888889,0.4486002399395986,0.4097222222222222
A046,3,0.16725249155436342,0.4861111111111111,0.3862741856232089,0.3125
A046,4,0.2902160438581507,0.4833333333333334,0.42324617416305366,0.3541666666666667
A047,1,0.24379626682603214,0.6499999999999999,0.45771939248137733,0.5
A047,2,0.2671210916818125,0.5861111111111111,0.4200566322948589,0.5555555555555556
A047,3,0.26095706840263166,0.5416666666666666,0.4184089161654667,0.5104166666666666
A047,4,0.19209739313875196,0.38333333333333336,0.4463461247365016,0.4756944444444444
A048,1,0.3222451559482025,0.6694444444444445,0.3943402157912598,0.7326388888888888
A048,2,0.29261916904189106,0.6527777777777778,0.44925385889712655,0.5763888888888888
A048,3,0.3406244840342964,0.5944444444444444,0.43261723062265084,0.6597222222222222
A048,4,0.3381691477012118,0.5527777777777778,0.42944034985607377,0.6458333333333334
A049,1,0.26163085488021504,0.8166666666666667,0.36997811126727675,0.8125
A049,2,0.3455847146390813,0.5027777777777778,0.42616807630848624,0.5243055555555556
A049,3,0.37024502312900803,0.5694444444444444,0.438065529859066,0.625
A049,4,0.3598708688592634,0.5083333333333333,0.41033928097198685,0.6736111111111112
A050,1,0.36919741232093667,0.6055555555555556,0.4357008052618107,0.5798611111111112
A050,2,0.3877526436738457,0.5249999999999999,0.42583803043999496,0.5833333333333334
A050,3,0.26830482745970985,0.3111111111111111,0.43198089329885164,0.4340277777777778
A050,4,0.25557936882995463,0.29444444444444445,0.4527643963382603,0.5104166666666666
A051,1,0.27264427057717583,0.8055555555555556,0.4235349414574526,0.7361111111111112
A051,2,0.24967898012095655,0.7861111111111111,0.4360514248003583,0.5833333333333334
A051,3,0.32655071238955874,0.5611111111111111,0.46333432549628634,0.53125
A051,4,0.31784436305152663,0.5694444444444444,0.44449334629247106,0.5694444444444444
A052,1,0.2765764319165785,0.7111111111111111,0.3860683964393673,0.7118055555555556
A052,2,0.3296391539714084,0.6083333333333333,0.4463461247365016,0.6631944444444444
A052,3,0.3102702139004046,0.525,0.4703529582354232,0.5381944444444444
A052,4,0.3321104328278686,0.5111111111111111,0.43390119437364216,0.4479166666666667
A053,1,0.31942828427519093,0.6777777777777777,0.4283571265381551,0.6944444444444444
A053,2,0.212279527531688,0.4527777777777778,0.40294300749937917,0.6805555555555556
A053,3,0.16781295944703573,0.4527777777777778,0.45380283268685817,0.5069444444444444
A053,4,0.1678362716593378,0.4666666666666667,0.4638749494218194,0.5555555555555556
A054,1,0.25262317065874546,0.8388888888888889,0.4174874544796374,0.6666666666666666
A054,2,0.31839778862248247,0.6944444444444444,0.41782409665234604,0.6631944444444444
A054,3,0.33154449586541795,0.6777777777777777,0.4499608746684476,0.625
A054,4,0.32366253025308295,0.7055555555555555,0.3843067860320675,0.7638888888888888
A055,1,0.33734673097780044,0.6666666666666666,0.4040943621496429,0.6875
A055,2,0.31083712505082006,0.4833333333333334,0.43603740543196207,0.6284722222222222
A055,3,0.2897168225106999,0.44722222222222224,0.4298245220067253,0.53125
A055,4,0.2794892502433053,0.4361111111111111,0.433294960381154,0.4513888888888889
