composite_ID,domain,test,theta
A097_3,Where,3,0.8254244
A097_4,Where,4,0.19003011
A098_1,Where,1,0.8269297
A098_2,Where,2,0.446704
A098_3,Where,3,1.1578248
A098_4,Where,4,-0.6112854
A099_1,Where,1,1.0796213
A099_2,Where,2,1.3544149
A099_3,Where,3,-0.12090313
A099_4,Where,4,1.0466882
A100_1,Where,1,-0.19057651
A100_2,Where,2,0.9044729
A100_3,Where,3,0.22922672
A100_4,Where,4,0.06803087
A101_1,Where,1,-0.9462252
A101_2,Where,2,-0.55277234
A101_3,Where,3,-1.5930067
A101_4,Where,4,-0.9949761
A102_1,Where,1,-0.024540316
A102_2,Where,2,1.2355605
A102_3,Where,3,-0.42207742
A102_4,Where,4,-0.7300058
A103_1,Where,1,1.5713539
A103_2,Where,2,-1.0943544
A103_3,Where,3,-1.4175515
A103_4,Where,4,-1.0943214
A104_1,Where,1,1.6869882
A104_2,Where,2,0.20594147
A104_3,Where,3,0.2628214
A104_4,Where,4,-1.721655
A105_1,Where,1,0.7042392
A105_2,Where,2,0.5544501
A105_3,Where,3,-0.32355082
A105_4,Where,4,0.4385651
A106_1,Where,1,1.314505
A106_2,Where,2,0.06214906
A106_3,Where,3,0.39107776
A106_4,Where,4,1.1643393
A107_1,Where,1,-0.7827122
A107_2,Where,2,-1.5480853
A107_3,Where,3,-1.1850315
A107_4,Where,4,-1.3145429
A108_1,Where,1,-0.46580803
A108_2,Where,2,-0.9090442
A108_3,Where,3,-0.15494189
A108_4,Where,4,-1.056874
A109_1,Where,1,-0.24901082
A109_2,Where,2,-1.060476
A109_3,Where,3,-0.09701187
A109_4,Where,4,-1.2608058
