UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A075,4,A075_4,Common,-0.8273441,0.1962873223365104,244.53,Late,9.18875
A076,1,A076_1,Common,0.4877052,0.1962873223365104,1.0,Early,0.041666666666666664
A076,2,A076_2,Common,-1.0494858,0.1962873223365104,27.3,Late,0.13750000000000004
A076,3,A076_3,Common,-1.029358,0.1962873223365104,74.88,Late,2.1199999999999997
A076,4,A076_4,Common,-1.714471,0.1962873223365104,149.28,Late,5.22
A077,1,A077_1,Common,1.1772299,0.1962873223365104,1.0,Early,0.041666666666666664
A077,2,A077_2,Common,-0.79948527,0.1962873223365104,53.88,Late,1.245
A077,3,A077_3,Common,0.18209952,0.1962873223365104,78.36,Late,2.265
A077,4,A077_4,Common,-0.8510503,0.1962873223365104,149.75,Late,5.239583333333333
A078,1,A078_1,Common,-1.0481057,0.1962873223365104,1.0,Early,0.041666666666666664
A078,2,A078_2,Common,-0.51313215,0.1962873223365104,26.17,Late,0.09041666666666674
A078,3,A078_3,Common,-0.97640496,0.1962873223365104,72.3,Late,2.0124999999999997
A078,4,A078_4,Common,-1.0365397,0.1962873223365104,140.08,Late,4.836666666666667
A079,1,A079_1,Common,-0.6625905,0.1962873223365104,1.0,Early,0.041666666666666664
A079,2,A079_2,Common,0.35112518,0.1962873223365104,26.11,Late,0.08791666666666664
A079,3,A079_3,Common,-1.1069062,0.1962873223365104,74.0,Late,2.0833333333333335
A079,4,A079_4,Common,-0.49610496,0.1962873223365104,194.42,Late,7.100833333333333
A080,1,A080_1,Common,0.33154324,0.1962873223365104,1.0,Early,0.041666666666666664
A080,2,A080_2,Common,0.82862,0.1962873223365104,29.03,Late,0.20958333333333337
A080,3,A080_3,Common,-0.1077804,0.1962873223365104,72.87,Late,2.0362500000000003
A080,4,A080_4,Common,0.41689837,0.1962873223365104,145.77,Late,5.07375
A081,1,A081_1,Common,0.00010118604,0.1962873223365104,1.0,Early,0.041666666666666664
A081,2,A081_2,Common,-0.7071566,0.1962873223365104,31.39,Late,0.30791666666666667
A081,3,A081_3,Common,0.545228,0.1962873223365104,80.13,Late,2.3387499999999997
A081,4,A081_4,Common,-0.08591507,0.1962873223365104,154.53,Late,5.43875
A082,1,A082_1,Common,-0.4003049,0.1962873223365104,1.0,Early,0.041666666666666664
A082,2,A082_2,Common,0.8779047,0.1962873223365104,27.97,Late,0.16541666666666663
A082,3,A082_3,Common,0.6359619,0.1962873223365104,75.71,Late,2.154583333333333
A082,4,A082_4,Common,-0.3586941,0.1962873223365104,170.25,Late,6.09375
A083,1,A083_1,Common,1.3698004,0.1962873223365104,1.0,Early,0.041666666666666664
A083,2,A083_2,Common,0.124128915,0.1962873223365104,25.15,Late,0.04791666666666661
A083,3,A083_3,Common,-0.5477029,0.1962873223365104,74.3,Late,2.095833333333333
A083,4,A083_4,Common,-0.37580958,0.1962873223365104,144.91,Late,5.037916666666667
A084,1,A084_1,Common,0.9561993,0.1962873223365104,1.0,Early,0.041666666666666664
A084,2,A084_2,Common,0.013109359,0.1962873223365104,27.25,Late,0.13541666666666666
A084,3,A084_3,Common,0.44351754,0.1962873223365104,91.97,Late,2.8320833333333333
A084,4,A084_4,Common,-0.88956237,0.1962873223365104,162.51,Late,5.771249999999999
A085,1,A085_1,Common,0.0077195168,0.1962873223365104,1.0,Early,0.041666666666666664
A085,2,A085_2,Common,0.49905202,0.1962873223365104,24.51,Late,0.021250000000000064
A085,3,A085_3,Common,0.48035803,0.1962873223365104,71.4,Late,1.9750000000000003
A085,4,A085_4,Common,-0.238934,0.1962873223365104,170.65,Late,6.110416666666667
A086,1,A086_1,Common,0.6558563,0.1962873223365104,1.0,Early,0.041666666666666664
A086,2,A086_2,Common,-0.6139667,0.1962873223365104,23.47,Early,0.9779166666666667
A086,3,A086_3,Common,-0.9025494,0.1962873223365104,145.29,Late,5.05375
A086,4,A086_4,Common,0.24756022,0.1962873223365104,169.55,Late,6.064583333333334
A087,1,A087_1,Common,0.3166234,0.1962873223365104,1.0,Early,0.041666666666666664
A087,2,A087_2,Common,1.0431534,0.1962873223365104,31.07,Late,0.29458333333333336
A087,3,A087_3,Common,0.6456617,0.1962873223365104,72.8,Late,2.033333333333333
A087,4,A087_4,Common,0.8111409,0.1962873223365104,144.2,Late,5.008333333333333
A088,1,A088_1,Common,1.3131995,0.1962873223365104,1.0,Early,0.041666666666666664
A088,2,A088_2,Common,1.6465031,0.1962873223365104,24.25,Late,0.010416666666666666
A088,3,A088_3,Common,1.5184398,0.1962873223365104,74.91,Late,2.12125
A088,4,A088_4,Common,2.0324988,0.1962873223365104,149.93,Late,5.247083333333333
