composite_ID,UID,test,theta_observed,theta_ma_fitted,residual_ma,TSVR_hours
A045_4,A045,T4,-1.2476392,-1.3945526924439218,0.1469134924439217,151.52
A046_1,A046,T1,-0.7687857,-0.3588792559815168,-0.4099064440184832,1.0
A046_2,A046,T2,-1.3034526,-0.8589473291334224,-0.44450527086657754,24.32
A046_3,A046,T3,-1.624248,-1.244269944696489,-0.3799780553035108,73.05
A046_4,A046,T4,-1.154563,-1.5033757641147711,0.34881276411477113,147.94
A047_1,A047,T1,-0.7466336,-0.20592057184394785,-0.5407130281560522,1.0
A047_2,A047,T2,-0.5145792,-0.6947501946617716,0.18017099466177156,23.46
A047_3,A047,T3,-1.2429395,-1.1101192333853573,-0.13282026661464275,76.85
A047_4,A047,T4,-1.600209,-1.3412775477208716,-0.2589314522791284,144.22
A048_1,A048,T1,1.0764405,0.9007170429902485,0.17572345700975145,1.0
A048_2,A048,T2,-0.06019045,0.40597157804113554,-0.46616202804113555,23.91
A048_3,A048,T3,0.14282681,-0.023681986002800654,0.16650879600280066,81.15
A048_4,A048,T4,0.09614354,-0.23978184156427326,0.33592538156427326,146.3
A049_1,A049,T1,2.1010969,1.0924969766697656,1.0085999233302343,1.0
A049_2,A049,T2,-0.5321013,0.5576899054526031,-1.089791205452603,27.12
A049_3,A049,T3,0.37812865,0.05106161577471645,0.32706703422528355,111.38
A049_4,A049,T4,0.034191336,-0.09904265836422088,0.1332339943642209,168.86
A050_1,A050,T1,-0.39878848,0.004956610672664177,-0.4037450906726642,1.0
A050_2,A050,T2,-0.71372736,-0.5003712794176955,-0.21335608058230449,24.73
A050_3,A050,T3,-0.9261868,-0.971519467845658,0.04533266784565804,93.39
A050_4,A050,T4,-1.1381246,-1.1413517820279304,0.0032271820279303753,148.69
A051_1,A051,T1,1.5230782,0.5749393325094889,0.9481388674905111,1.0
A051_2,A051,T2,-0.30774206,0.17828597486335476,-0.4860280348633548,17.16
A051_3,A051,T3,-0.6520249,-0.2707970574411181,-0.3812278425588819,65.63
A051_4,A051,T4,-0.72000563,-0.5672474832329443,-0.15275814676705568,146.99
A052_1,A052,T1,0.58457315,0.7173209225566105,-0.13274777255661052,1.0
A052_2,A052,T2,0.3844317,0.13037695921840511,0.25405474078159485,31.76
A052_3,A052,T3,0.116021834,-0.20630001490986305,0.32232184890986304,80.98
A052_4,A052,T4,-0.8312764,-0.43983668431665174,-0.3914397156833483,153.27
A053_1,A053,T1,1.401935,1.0388913465544214,0.36304365344557854,1.0
A053_2,A053,T2,0.97594434,0.44200242132481826,0.5339419186751817,32.71
A053_3,A053,T3,-0.40916884,0.1278524383846997,-0.5370212783846997,78.28
A053_4,A053,T4,-0.13549207,-0.10792256167652647,-0.02756950832347352,148.9
A054_1,A054,T1,0.52522403,1.4460790128126688,-0.9208549828126689,1.0
A054_2,A054,T2,1.1258696,1.0536620639645957,0.0722075360354042,16.9
A054_3,A054,T3,1.191061,0.5618065150810628,0.6292544849189371,72.83
A054_4,A054,T4,1.2362738,0.3296732517973799,0.90660054820262,136.83
A055_1,A055,T1,0.28537354,0.7203619276712498,-0.43498838767124987,1.0
A055_2,A055,T2,0.8647509,0.23445322186503997,0.6302976781349601,23.24
A055_3,A055,T3,-0.119812906,-0.1722173433151201,0.052404437315120095,74.48
A055_4,A055,T4,-0.62007034,-0.4271967767496393,-0.19287356325036076,149.21
A056_1,A056,T1,0.5282342,0.5979138669915928,-0.06967966699159278,1.0
A056_2,A056,T2,0.54977185,-0.008189598270732647,0.5579614482707326,33.61
A056_3,A056,T3,-0.4118956,-0.2793200004468668,-0.1325755995531332,71.46
